1,11828,43
2,10442,96
2,11539,-44
2,13526,76
2,23791,-53
2,35964,61
3,16410,68
3,22468,-96
3,29688,2
3,32286,-82
3,40872,82
4,9239,-15
4,30485,-84
5,26294,-72
6,10073,32
6,11923,42
6,24830,-29
7,1960,67
8,47117,-36
9,10785,58
9,14127,57
10,297,7
10,29080,74
10,49259,25
11,13910,34
11,33885,-57
11,35794,64
12,24006,0
12,33460,80
13,12214,18
13,38818,-10
14,4493,67
14,35825,-8
14,37303,-20
14,45031,71
15,5442,-86
15,7133,50
15,9117,-93
15,17249,-81
16,18530,69
16,26767,-43
16,40600,5
17,2327,-83
17,4153,34
17,31332,91
17,32443,26
18,1496,-1
18,5352,23
18,39747,-15
19,8672,19
19,20739,47
19,32646,31
20,6753,38
20,13900,41
20,35115,-37
20,35383,-88
21,42868,75
21,46177,-41
22,2883,-76
22,20367,-9
23,9250,6
23,26324,-44
23,45750,-40
25,26743,-69
25,48678,23
26,23026,31
26,26081,89
27,18005,34
27,38956,72
27,44786,-70
28,16856,-69
28,39642,-93
29,11958,-95
29,31849,19
29,49042,11
30,2189,7
30,18837,-19
30,25507,-18
30,34369,-23
30,48526,40
31,13676,-6
31,28558,-44
31,49587,-91
32,28602,47
33,40453,-17
33,48663,-63
34,20816,-44
35,49356,94
37,18559,49
37,32980,-78
37,43369,-52
38,3061,-41
38,5952,57
38,11724,64
38,12707,98
38,16974,82
38,36207,21
39,11462,48
39,17767,46
41,22554,13
41,27214,-89
41,42881,17
42,22178,-9
43,21528,14
43,32701,22
43,41748,-52
44,3914,94
45,11934,-56
46,22317,-52
46,38186,90
46,44193,-70
47,6527,64
47,49086,-41
48,25172,-41
48,29286,9
48,31210,-82
48,47826,5
49,12018,28
49,18054,-17
50,4803,-66
50,5971,54
51,37016,1
52,7394,-6
52,11137,-31
52,24574,-69
52,30659,84
52,33290,99
52,41820,-22
53,26763,48
53,42444,-65
53,43479,59
55,32439,13
56,20044,-79
56,29228,-50
56,39606,15
57,2282,87
57,8306,3
57,13366,-16
57,38746,21
57,42375,-47
58,43054,-9
59,39336,-100
60,19555,-20
60,44066,-17
60,44304,-98
61,33810,-75
61,38301,-20
62,33033,-18
62,42948,36
63,17172,-39
64,12199,80
64,21508,99
65,8157,77
66,21993,-29
66,47482,11
66,47918,-27
67,20652,-33
67,33668,0
67,39525,97
67,48343,-25
68,2325,-83
68,9418,-6
68,27274,-43
68,45953,43
69,9809,58
69,16693,-25
69,22258,-92
69,29143,-62
69,47332,27
70,17451,-49
70,30072,-29
70,40694,-100
72,7446,55
73,41840,-24
74,25506,73
74,31181,-88
74,33683,68
75,21828,55
75,37626,-9
76,2669,15
76,12450,-19
76,39861,-95
77,16446,38
77,26739,-34
78,19849,-24
78,33009,-96
79,4932,-69
79,33671,-80
80,29009,-93
80,39350,-9
81,22607,-95
82,16023,44
83,1641,46
83,15035,-79
83,34059,-53
83,38805,95
83,49911,61
84,6391,-91
84,41250,-16
85,9754,-68
85,27396,-15
85,32560,-38
85,33253,-31
86,34055,-24
86,41451,1
86,42870,99
87,39874,26
88,3302,15
89,17532,-37
90,21208,14
90,49732,4
91,32459,49
92,4018,-41
92,33644,-25
93,932,-77
94,14655,-15
94,16074,85
95,11402,75
95,13198,-36
96,37237,-68
97,12692,36
98,42950,76
98,44986,-73
99,25466,95
100,13340,61
100,29533,51
100,35308,15
100,41036,-83
101,2556,-81
101,13830,-67
101,22148,8
103,39353,93
105,15021,87
105,17039,-46
105,25600,-51
105,46893,-15
106,2249,70
106,10722,15
106,20459,-12
107,33971,-88
107,49857,-33
108,11601,-80
108,15256,59
109,36191,-49
110,45292,-98
112,4775,60
112,19796,-14
112,24901,74
113,44817,99
114,13066,62
116,24084,-22
117,49500,-67
118,13632,-3
118,32112,-6
119,36142,-31
120,36379,-49
121,16861,72
121,23542,-37
121,31861,10
122,5237,91
122,5437,-20
122,12576,12
122,27291,45
123,2113,-8
124,4150,93
124,4556,8
124,47910,51
126,18130,-7
126,22007,-97
126,29528,80
126,37297,-100
126,38397,-22
126,47030,-45
126,48845,91
127,25089,-28
127,27685,99
130,16771,-66
130,36939,0
130,37738,2
131,28170,-67
131,29597,0
132,20903,-58
132,45842,-12
133,17928,-86
133,40300,74
