15726,42117,65
28031,47569,-93
17731,7451,-2
15378,10116,-63
7764,20647,-45
46204,9080,-39
23767,34825,94
22242,4646,-89
97,24400,-35
23167,25344,39
5665,8811,-8
33711,41959,29
112,47914,-20
36250,17777,-28
17748,32778,98
35663,16717,62
3326,40577,5
31141,3354,-58
14945,14567,-90
17477,13086,-27
7986,45872,76
45508,13276,1
26627,21845,-1
6485,16992,-52
49192,27013,-74
17731,32668,-21
30256,33340,-91
6649,10619,-95
22462,15466,6
23729,2440,-7
17544,9933,16
4196,41361,71
2429,48184,79
8029,33182,32
3253,10896,95
17767,34391,-90
28514,18754,31
11895,16533,-7
29535,27832,-8
30108,29894,70
2339,21496,47
16973,32769,-97
42665,11963,-51
20356,32755,0
12395,29393,86
49990,49936,-24
2625,13139,28
1443,28659,-97
9019,43338,95
9611,17483,-89
14030,9795,-7
23013,37336,22
15632,32663,-48
23532,26603,90
9982,7086,-64
30879,23478,-93
24135,38762,55
17774,32181,53
24948,21261,-90
44187,329,-58
10961,13060,0
40719,24196,-72
41216,49700,76
3317,43950,-49
20840,6528,32
28620,3136,13
8748,20762,10
36027,33113,45
42342,30427,-8
8888,28073,-87
6579,41622,-76
42965,16078,85
7993,26715,91
34098,19165,-79
48909,46636,54
4627,8647,-28
9730,44426,-92
14388,21260,83
37805,30620,-1
32630,16462,39
24298,34857,54
30001,3390,-88
26588,14806,31
8535,31630,-37
47620,42092,44
2522,13280,29
28264,10357,-98
9706,16036,31
5475,2528,46
6028,28793,-84
44292,36581,-94
29428,45135,64
27641,26725,13
9439,21609,-30
49415,22596,80
14602,18033,-84
17496,38565,-20
41999,24824,-29
47079,32747,42
47572,26516,23
33991,3386,85
39053,5351,77
33207,16757,76
35356,34391,38
11047,41187,-72
40338,9729,4
12222,27120,-97
20299,36296,0
25444,38231,79
20085,15530,-70
2864,40613,-93
45073,34705,57
34438,10525,-9
31081,43361,-20
9326,31889,53
37975,9432,58
4143,8224,61
41232,25540,85
14633,20002,-86
28058,49036,-45
44334,31360,-87
42404,39621,40
3998,24601,13
32130,18751,66
17364,5756,55
