1035,1762
406,1968
344,1090
1581,1706
1118,484
1479,1429
641,1084
888,961
924,618
1822,1768
1020,1080
1708,700
361,1444
1856,1352
457,1906
832,1029
698,837
385,340
704,1783
1017,28
1478,1177
1576,1712
79,1731
1975,1983
879,94
1787,1932
985,1244
797,1193
735,315
1685,1655
1380,1773
196,37
557,982
218,1516
541,449
1341,1064
1038,1255
1489,1716
1525,1373
1463,495
403,515
371,1731
736,166
345,510
183,1680
654,1265
1542,1727
29,1213
177,1865
115,987
454,453
1049,1794
987,916
1645,1825
1507,1891
757,1393
1952,255
116,808
507,464
952,1080
1387,1008
14,531
1972,1661
912,1681
172,1871
798,613
1686,1075
323,1286
357,870
133,1162
1568,265
71,284
1492,1209
1101,1553
1937,1825
101,126
1783,1358
713,690
749,347
907,1687
621,1101
184,1100
1457,1373
1056,1029
1154,1564
1395,495
868,978
128,1168
66,290
1704,1250
1730,219
563,1096
1399,1368
1836,1369
1201,629
810,973
800,285
1734,1092
1333,748
734,1917
708,696
546,1866
484,988
444,1589
139,1707
1254,640
1100,173
1535,101
38,120
1657,1784
597,1804
844,1681
104,1871
541,1872
976,1800
1463,1918
1848,1729
1776,163
2,1594
403,1938
812,645
1151,111
1309,1451
1155,984
85,316
1332,1620
931,1276
592,1810
456,1949
1366,1204
3,1415
777,809
1076,876
398,1944
711,189
1948,805
1547,461
1609,1339
1946,732
244,1477
20,1769
1742,148
1515,1677
1880,112
455,1697
1379,1816
978,1472
790,1421
728,543
1173,1159
762,127
1660,1277
199,953
670,538
97,676
9,829
943,1636
1901,1339
378,137
1276,1287
1651,410
591,430
190,86
250,891
124,1718
1655,1283
934,769
533,425
996,1647
1431,1575
1020,543
309,717
22,1441
158,1302
457,1369
1840,282
652,1056
113,778
1761,174
620,20
1179,1704
1893,293
1953,1098
1390,1924
1703,169
1140,995
390,497
791,841
663,1595
601,717
709,1940
637,374
1535,1524
1473,646
413,666
110,857
1571,1181
222,1852
108,784
1042,1591
1131,128
325,1950
664,1416
750,1190
1997,242
572,1827
1007,1755
935,189
1833,1339
442,256
681,1770
707,739
655,549
254,205
1204,1545
1491,821
803,1201
689,133
613,1077
248,390
1920,934
172,1334
557,1145
1357,1760
80,1745
367,1021
419,1211
1692,1484
1301,1828
1640,1294
1177,72
802,949
1788,1946
327,1622
548,278
1009,1427
608,1083
1045,1084
1881,1356
482,1910
384,1375
1444,1355
917,1838
819,1303
717,1026
326,1370
164,288
1593,1828
810,436
1744,1243
1004,1433
283,919
343,1724
1057,313
1929,242
1590,776
1702,1771
339,1982
616,570
1624,360
564,380
1061,1186
27,175
1995,1993
149,1858
863,447
586,1859
620,1443
771,858
1206,786
769,785
1703,1592
242,1268
180,390
1539,437
1549,1125
976,1263
673,1454
387,868
1223,1140
483,1330
1658,1068
1504,601
1155,447
826,1669
1474,1890
1510,1547
1909,1818
1883,597
935,1612
1320,1423
1346,392
1807,1541
346,1217
1218,1146
655,1972
1304,920
244,940
1455,335
553,1695
561,58
1361,673
373,7
1894,1136
495,1690
1706,1085
209,1104
245,761
295,878
305,1566
1115,617
1638,392
1075,1218
15,1238
1450,341
887,1167
388,288
111,1700
947,1972
460,1854
1384,1973
1723,1439
773,99
635,165
793,1505
731,627
767,284
256,1300
142,232
1467,695
1138,1917
503,1177
1162,813
389,109
563,1982
1998,1085
876,227
1375,1106
1373,1033
1271,756
1093,1393
1626,1856
103,654
939,926
686,1234
1611,43
1769,1383
1805,1040
647,525
1242,1866
1180,988
1088,1399
1421,1050
1770,1204
760,1341
1632,1270
510,412
704,1409
1540,1681
1103,1680
418,823
175,1819
1534,1866
813,1352
412,1008
1685,1281
1781,1743
721,1763
416,1881
619,1486
992,536
1002,1224
804,485
403,141
1812,275
910,1635
160,1137
1746,1907
1345,1563
213,17
1147,824
345,136
269,1080
1151,1697
177,1491
115,613
464,767
1260,1640
1974,229
869,1984
767,1707
46,1193
1142,830
1481,296
6,1794
1261,1461
1686,701
1347,1235
1696,1389
231,1323
1344,183
1492,835
1101,1179
1927,763
528,1317
1739,712
1799,1517
775,1194
1150,317
1773,296
1210,1122
1707,1928
673,917
184,726
58,1553
1092,312
894,1825
1898,1873
523,1323
1211,943
1323,1938
1359,1595
1135,1887
1205,1128
1382,1764
1077,1882
1452,1005
1761,1760
923,1415
290,748
238,558
1785,656
787,1554
1659,1483
1258,1139
100,624
136,281
821,1138
1878,66
104,1497
940,1769
1690,15
1253,14
1463,1544
447,1836
1618,1832
1993,955
1991,882
3,1041
1266,626
89,815
188,40
799,1914
1583,1996
1705,1427
198,758
260,1636
1517,1376
1317,564
257,584
890,1251
1666,718
415,1924
1814,1370
1722,1781
163,922
636,580
1472,852
1969,1658
1917,1468
995,1452
594,1108
881,384
1717,656
1875,1996
1190,1139
